Model,CV_AUC_mean,CV_AUC_std,CV_F1_mean,CV_F1_std,Train_AUC_mean,Train_F1_mean,Test_AUC,Test_F1,Overfitting_AUC,Overfitting_F1,Time_s,CV_Stability
DecisionTree,0.8902307743529871,0.007440443543046133,0.6643736813428968,0.006858330019711859,0.916895727804404,0.6956164833360696,0.8686632172841868,0.47329192546583854,0.02666495345141684,0.031242801993172864,0.6720559597015381,Excellent
RandomForest,0.9267158108760916,0.005724583498926962,0.6958005958232992,0.006885680972066213,0.9538606625651606,0.7266787034648784,0.901811822780874,0.5045105245573004,0.027144851689068994,0.030878107641579167,8.137722492218018,Excellent
XGBoost,0.9494807330460642,0.004254257481642271,0.7454068596612363,0.014228471263453451,0.9838723591350671,0.8618522471243922,0.9142964620159303,0.527876631079478,0.034391626089002925,0.11644538746315591,2.0852649211883545,Excellent
CatBoost,0.9296113678006422,0.005780020309433119,0.6796820516628249,0.017655447186736565,0.9425076645027775,0.7184177997527812,0.9041602258593059,0.5064327485380117,0.012896296702135213,0.03873574808995628,11.890718698501587,Excellent
