Model,CV_AUC_mean,CV_AUC_std,CV_F1_mean,CV_F1_std,Train_AUC_mean,Train_F1_mean,Test_AUC,Test_F1,Overfitting_AUC,Overfitting_F1,Time_s,CV_Stability
DecisionTree,0.8982658239221492,0.0012441663291754641,0.571339313799602,0.003205546467243827,0.8988961906344366,0.5722055332138185,0.8974530137429517,0.3283095775891165,0.0006303667122874446,0.0008662194142164958,55.03379964828491,Excellent
RandomForest,0.9210570681400435,0.0010249184602849689,0.5859426273136655,0.0008616217481814493,0.9227850204262128,0.5871128661332746,0.9191316585184919,0.3387584018105963,0.0017279522861692875,0.001170238819609093,1085.1244049072266,Excellent
XGBoost,0.9380836693227416,0.0011680216181386243,0.6095301465599257,0.005281340179550741,0.9387821259677397,0.6130241457734682,0.9349717313670395,0.5057919074051309,0.0006984566449981244,0.0034939992135425424,68.0160768032074,Excellent
CatBoost,0.9168208524383059,0.000602065570260397,0.5304715643453358,0.003988527620918285,0.9176725034485476,0.5334198408165921,0.9154628869733873,0.4413771061594239,0.0008516510102416497,0.0029482764712562837,184.9973394870758,Excellent
