height,slope_avg,river_distance_avg,drainscore_avg,permeable,distance_avg,length_sew,numpoints,dept_avg
21.0,1.5,394.0,4.0,1,22.0,18.31578947368421,19.0,0.0
442.0,4.5,149.0,4.0,0,314.0,0.0,0.0,0.0
591.5,6.0,424.0,3.0,1,949.0,0.0,0.0,0.0
55.0,2.5,97.0,4.0,1,175.0,36.66666666666666,5.0,0.0
541.5,6.0,459.0,4.0,1,522.0,0.0,0.0,0.0
797.8,5.857142857142857,1510.0,4.0,1,2720.0,0.0,0.0,0.0
173.5,5.0,62.0,4.0,0,137.0,0.0,0.0,0.0
1067.25,14.25,1018.0,4.0,0,2657.0,0.0,0.0,0.0
461.75,4.0,188.0,4.0,0,755.0,0.0,0.0,0.0
570.25,9.5,167.0,4.0,0,1027.0,0.0,0.0,0.0
287.25,2.5,586.0,4.0,1,259.0,0.0,0.0,0.0
900.0,12.0,1798.0,4.0,1,3030.0,0.0,0.0,0.0
1218.5,12.0,1703.0,4.0,1,1094.0,0.0,0.0,0.0
87.4,2.6666666666666665,1053.0,4.0,0,295.0,0.0,0.0,0.0
870.0,14.0,1988.0,4.5,1,36.0,0.0,0.0,0.0
90.8,2.5,1125.0,4.0,0,241.0,25.0,3.0,0.0
323.25,4.5,568.0,4.0,1,579.0,0.0,0.0,0.0
392.5,8.0,192.0,4.0,0,267.0,0.0,0.0,0.0
896.5,6.666666666666667,725.0,4.0,1,345.0,0.0,0.0,0.0
143.5,2.5,111.0,3.5,1,363.0,35.44444444444444,4.0,0.0
668.25,5.5,805.0,4.0,1,1546.0,0.0,0.0,0.0
473.75,22.0,356.0,4.0,1,392.0,0.0,0.0,0.0
542.75,5.5,194.0,4.0,1,462.0,0.0,0.0,0.0
464.25,5.0,571.0,4.0,1,875.0,0.0,0.0,0.0
506.0,2.0,1117.0,4.0,1,1955.0,0.0,0.0,0.0
397.3333333333333,7.0,606.0,4.0,0,230.0,0.0,0.0,0.0
609.1666666666666,3.0,624.0,4.0,1,817.0,0.0,0.0,0.0
275.0,3.0,56.0,4.5,0,89.0,0.0,0.0,0.0
911.5,15.5,548.0,4.5,1,638.0,0.0,0.0,0.0
500.75,7.75,793.0,4.0,1,758.0,0.0,0.0,0.0
88.75,2.5,403.0,4.0,0,370.0,21.444444444444443,6.0,0.0
668.5,6.0,706.0,4.0,1,1603.0,0.0,0.0,0.0
392.5,3.5,390.0,4.0,0,549.0,0.0,0.0,0.0
85.75,4.5,402.0,4.0,0,336.0,27.88888888888889,7.0,0.0
283.75,4.0,175.0,4.0,0,272.0,0.0,0.0,0.0
512.8333333333334,3.5,49.0,4.0,0,571.0,0.0,0.0,0.0
281.25,4.5,100.0,4.0,0,1052.0,0.0,0.0,0.0
538.25,7.5,207.0,4.0,1,372.0,0.0,0.0,0.0
554.1666666666666,7.0,183.0,4.0,1,799.0,34.333333333333336,2.0,0.0
81.5,0.5,398.0,4.0,1,310.0,0.0,0.0,0.0
352.25,3.6,23.0,4.0,1,1113.0,0.0,0.0,0.0
526.4,7.25,79.0,4.0,1,356.0,0.0,0.0,0.0
297.75,5.5,689.0,4.0,1,458.0,0.0,0.0,0.0
