height,slope_avg,river_distance_avg,drainscore_avg,permeable,distance_avg,length_sew,numpoints,dept_avg
209.0,3.5,338.0,4.0,1,285.0,0.0,0.0,0.0
950.0,7.5,1003.0,5.0,1,1452.0,0.0,0.0,0.0
950.0,7.0,2105.0,4.0,1,480.0,0.0,0.0,0.0
238.0,6.5,1106.0,4.0,1,457.0,0.0,0.0,0.0
111.0,6.0,911.0,4.0,1,334.0,0.0,0.0,0.0
314.0,4.0,600.0,4.0,1,104.0,0.0,0.0,0.0
114.75,2.0,299.0,4.0,0,31.0,0.0,0.0,0.0
1571.0,23.0,1322.0,5.0,1,147.0,0.0,0.0,0.0
798.0,4.0,1693.0,4.0,1,2634.0,0.0,0.0,0.0
57.0,1.0,415.0,2.0,1,13.0,13.0,2.0,0.0
412.0,12.0,722.0,4.0,1,464.0,0.0,0.0,0.0
496.0,3.0,60.0,4.0,1,369.0,0.0,0.0,0.0
810.0,6.0,1783.0,4.0,1,2627.0,0.0,0.0,0.0
39.0,2.0,402.0,5.0,1,410.0,0.0,0.0,0.0
24.0,1.0,828.0,4.0,1,894.0,0.0,0.0,0.0
693.75,7.0,496.0,4.0,1,549.0,0.0,0.0,0.0
298.0,15.0,256.0,4.0,1,321.0,0.0,0.0,0.0
532.5,6.0,140.0,4.0,1,191.0,0.0,0.0,0.0
577.0,15.0,460.0,5.0,1,963.0,0.0,0.0,0.0
164.5,6.0,1285.0,4.0,1,645.0,3.0,0.0,0.0
565.5,4.5,229.0,4.0,1,338.0,0.0,0.0,0.0
845.0,9.5,1845.0,4.0,1,1826.0,0.0,0.0,0.0
398.0,5.5,223.0,4.0,1,303.0,0.0,0.0,0.0
393.0,4.0,101.0,4.0,1,801.0,0.0,0.0,0.0
31.0,2.0,921.0,4.0,1,782.0,2.0,0.0,0.0
519.5,4.0,205.0,4.0,1,536.0,0.0,0.0,0.0
704.25,11.75,705.0,4.0,1,2154.0,0.0,0.0,0.0
561.5,4.5,254.0,4.0,1,173.0,0.0,0.0,0.0
486.0,8.0,754.0,4.0,1,1063.0,0.0,0.0,0.0
7.0,1.0,319.0,4.0,1,601.0,0.0,0.0,0.0
101.0,2.0,275.0,4.0,1,199.0,0.0,0.0,0.0
392.5,5.0,345.0,2.0,1,59.0,0.0,0.0,0.0
173.0,10.5,520.0,4.0,1,221.0,0.0,0.0,0.0
7.0,3.0,1033.0,4.0,1,186.0,31.0,0.0,0.0
377.0,5.0,20.0,4.0,1,738.0,0.0,0.0,0.0
627.0,9.0,757.0,4.0,1,1247.0,0.0,0.0,0.0
662.0,5.0,698.0,4.0,1,687.0,0.0,0.0,0.0
590.5,6.5,711.0,4.0,1,692.0,0.0,0.0,0.0
952.0,19.0,1639.0,5.0,1,3766.0,0.0,0.0,0.0
722.0,7.0,964.0,4.0,1,1632.0,0.0,0.0,0.0
4.0,1.0,588.0,2.5,1,818.0,18.428571428571427,1.0,0.0
115.0,1.0,438.0,4.0,1,242.0,4.0,0.0,0.0
275.5,6.0,1069.0,2.0,1,30.0,0.0,0.0,0.0
111.0,3.0,393.0,4.0,1,454.0,0.0,0.0,0.0
226.0,3.0,381.0,4.0,1,124.0,0.0,0.0,0.0
13.0,2.0,987.0,4.0,0,413.0,15.75,4.0,0.0
394.0,2.0,510.0,4.0,1,125.0,0.0,0.0,0.0
369.0,15.0,364.0,4.0,1,693.0,0.0,0.0,0.0
28.5,1.5,1114.0,4.0,0,549.0,15.0,2.0,0.0
50.0,4.0,1036.0,4.0,1,280.0,0.0,0.0,0.0
34.0,2.0,667.0,4.0,1,352.0,0.0,0.0,0.0
25.5,2.0,837.0,4.0,1,762.0,0.0,0.0,0.0
69.0,1.0,780.0,4.0,0,675.0,10.4,5.0,0.0
624.0,3.0,515.0,4.0,1,506.0,0.0,0.0,0.0
55.0,1.0,394.0,4.0,1,754.0,10.0,0.0,0.0
558.0,5.0,119.0,4.0,1,843.0,0.0,0.0,0.0
633.25,11.5,403.0,4.0,1,1320.0,0.0,0.0,0.0
568.0,10.0,483.0,4.0,1,1063.0,0.0,0.0,0.0
564.0,8.25,110.0,4.0,1,93.0,0.0,0.0,0.0
717.0,11.0,1135.0,4.0,1,928.0,0.0,0.0,0.0
348.0,2.0,319.0,4.0,1,160.0,0.0,0.0,0.0
133.5,1.0,163.0,4.0,1,76.0,0.0,0.0,0.0
984.0,9.0,1837.0,5.0,1,3982.0,0.0,0.0,0.0
337.0,4.0,282.0,4.0,1,281.0,0.0,0.0,0.0
177.0,2.5,524.0,4.0,1,14.0,0.0,0.0,0.0
1124.0,7.0,348.0,4.0,1,1784.0,0.0,0.0,0.0
1154.0,10.0,177.0,4.0,1,1698.0,0.0,0.0,0.0
290.0,5.0,122.0,4.0,1,1079.0,0.0,0.0,0.0
130.0,2.5,71.0,4.0,1,101.0,0.0,0.0,0.0
454.0,7.0,298.0,4.0,1,63.0,0.0,0.0,0.0
340.75,4.0,392.0,4.0,1,152.0,0.0,0.0,0.0
169.66666666666666,5.0,592.0,4.0,1,249.0,0.0,0.0,0.0
35.0,1.0,977.0,4.0,1,742.0,0.0,0.0,0.0
21.0,3.5,515.0,4.0,1,227.0,30.666666666666668,1.0,0.0
175.0,2.0,797.0,4.0,1,149.0,30.0,0.0,0.0
22.0,4.0,421.0,4.0,1,340.0,26.0,0.0,0.0
450.0,6.0,38.0,4.0,1,324.0,0.0,0.0,0.0
211.0,5.0,526.0,4.0,1,64.0,22.0,1.0,0.0
811.0,22.5,979.0,5.0,1,1116.0,0.0,0.0,0.0
306.0,9.0,436.0,4.0,1,385.0,0.0,0.0,0.0
519.0,6.0,355.0,4.0,1,1605.0,0.0,0.0,0.0
1398.5,30.0,951.0,4.0,1,1535.0,0.0,0.0,0.0
673.0,9.0,1116.0,4.0,1,1467.0,0.0,0.0,0.0
197.5,3.0,296.0,4.0,1,392.0,0.0,0.0,0.0
739.0,12.5,543.0,5.0,1,2448.0,0.0,0.0,0.0
1016.0,15.0,506.0,4.5,1,786.0,0.0,0.0,0.0
355.5,4.0,223.0,4.0,1,71.0,0.0,0.0,0.0
1404.0,14.25,1034.0,5.0,1,68.0,0.0,0.0,0.0
349.0,2.5,169.0,2.0,1,12.0,0.0,0.0,0.0
269.75,4.0,173.0,4.0,1,363.0,0.0,0.0,0.0
91.0,1.0,774.0,4.0,1,1149.0,30.0,0.0,0.0
231.0,4.0,425.0,4.0,1,133.0,0.0,0.0,0.0
879.0,12.0,1979.0,5.0,1,417.0,0.0,0.0,0.0
111.0,6.0,925.0,4.0,1,305.0,0.0,0.0,0.0
579.5,11.0,178.0,4.0,1,727.0,0.0,0.0,0.0
155.5,3.0,1021.0,4.0,0,355.0,15.0,1.0,0.0
383.5,4.0,780.0,4.0,1,57.0,0.0,0.0,0.0
