height,slope_avg,river_distance_avg,drainscore_avg,permeable,distance_avg,length_sew,numpoints,dept_avg
169.0,4.0,708.17,4.0,1,387.763,0.0,0.0,0.0
931.0,13.0,1395.953,4.0,1,2015.999,0.0,0.0,0.0
381.0,4.0,304.022,4.0,1,779.342,0.0,0.0,0.0
70.0,4.0,822.047,4.0,1,388.197,0.0,0.0,0.0
688.0,9.0,1343.59,4.0,1,1366.736,0.0,0.0,0.0
488.0,4.0,448.92,4.0,1,221.195,0.0,0.0,0.0
903.0,19.5,745.237,5.0,1,913.256,0.0,0.0,0.0
784.0,9.0,320.807,4.0,1,2485.765,0.0,0.0,0.0
731.0,12.0,875.333,4.0,1,328.474,0.0,0.0,0.0
134.0,3.0,785.62,4.0,1,85.12,10.0,0.0,0.0
6.5,2.0,597.542,4.0,1,73.377,0.0,0.0,0.0
267.0,5.0,244.56,4.0,1,345.122,0.0,0.0,0.0
20.5,1.0,714.251,4.0,1,521.504,0.0,0.0,0.0
654.0,7.0,570.46,4.0,1,401.086,0.0,0.0,0.0
556.0,7.0,328.998,4.0,1,829.078,0.0,0.0,0.0
178.0,2.0,240.212,4.0,1,203.358,0.0,0.0,0.0
153.0,4.0,478.411,4.0,1,71.366,0.0,0.0,0.0
417.0,7.0,52.014,4.0,1,1338.44,0.0,0.0,0.0
69.0,4.0,690.264,4.0,0,652.9,0.0,0.0,0.0
502.0,5.0,686.334,4.0,1,509.982,0.0,0.0,0.0
1100.0,10.0,466.145,4.0,1,1980.152,0.0,0.0,0.0
178.0,3.0,618.466,0.0,1,5.631,0.0,0.0,0.0
129.0,2.0,272.77,4.0,1,255.129,0.0,0.0,0.0
107.0,1.5,260.452,4.0,0,444.164,3.0,0.0,0.0
168.0,1.0,653.109,4.0,1,161.049,0.0,0.0,0.0
432.0,5.5,207.144,4.0,1,327.26,0.0,0.0,0.0
119.0,3.0,219.344,4.0,1,673.228,0.0,0.0,0.0
811.0,13.0,1468.894,4.0,1,47.816,0.0,0.0,0.0
558.0,5.0,86.426,4.0,1,887.423,0.0,0.0,0.0
161.0,3.0,944.153,4.0,1,111.208,0.0,0.0,0.0
631.0,5.0,713.757,4.0,1,846.565,0.0,0.0,0.0
431.0,5.0,286.36,4.0,0,300.366,0.0,0.0,0.0
107.0,2.0,115.42,4.0,1,70.981,0.0,0.0,0.0
217.0,16.0,427.753,4.0,1,247.327,0.0,0.0,0.0
52.5,1.5,882.907,4.0,0,251.28,6.0,1.0,0.0
158.0,3.0,885.094,4.0,0,516.76,0.0,0.0,0.0
114.0,2.0,190.667,4.0,0,402.065,0.0,0.0,0.0
105.0,1.0,579.636,4.0,1,388.106,0.0,0.0,0.0
383.0,6.0,615.223,4.0,1,876.197,0.0,0.0,0.0
444.0,4.5,488.523,4.0,1,728.406,0.0,0.0,0.0
494.0,8.0,396.422,4.0,1,994.463,0.0,0.0,0.0
464.0,3.0,84.028,4.0,0,511.91,0.0,0.0,0.0
110.0,2.0,245.903,4.0,1,162.283,0.0,0.0,0.0
1.0,0.0,827.269,0.0,1,1185.192,0.0,0.0,0.0
79.0,2.0,1222.381,4.0,0,104.879,0.0,0.0,0.0
193.0,7.0,73.805,4.0,1,112.416,0.0,0.0,0.0
941.0,7.0,1966.898,4.0,1,595.213,0.0,0.0,0.0
10.0,3.0,372.366,4.5,0,527.828,0.0,0.0,0.0
666.5,3.0,495.936,5.0,1,2098.819,0.0,0.0,0.0
648.0,10.0,824.327,4.0,1,1586.713,0.0,0.0,0.0
638.0,5.0,355.719,4.0,1,558.843,0.0,0.0,0.0
659.0,8.0,861.155,4.0,1,1046.771,0.0,0.0,0.0
1004.0,26.0,2015.188,4.0,1,1281.478,0.0,0.0,0.0
464.5,4.0,103.212,4.0,1,53.77,0.0,0.0,0.0
119.0,4.0,472.486,4.0,1,189.696,0.0,0.0,0.0
446.0,5.0,343.13,4.0,1,166.489,0.0,0.0,0.0
39.0,2.0,155.652,3.0,0,251.518,0.0,0.0,0.0
530.0,3.0,584.772,4.0,1,530.337,0.0,0.0,0.0
284.0,3.0,409.579,0.0,1,36.811,0.0,0.0,0.0
1214.0,18.0,1575.903,2.5,1,532.047,0.0,0.0,0.0
100.5,3.0,507.731,4.0,1,397.967,0.0,0.0,0.0
