Scenario,Flood_Ratio,Samples,CV_AUC_mean,CV_AUC_std,CV_F1_mean,CV_F1_std,Train_AUC,Train_F1,Test_AUC,Test_F1,Overfitting_AUC,Overfitting_F1,Time_s
No SMOTE,0.07049679490795373,1772804,0.9186722815599365,0.0011376009835573021,0.33791948488634704,0.0013074051578629302,0.921720002264519,0.3400254483003178,0.9191762799283386,0.33916603526936545,0.0030477207045824795,0.002105963413970735,413.0671775341034
Conservative SMOTE,0.17457018543063607,1996326,0.9208453391349884,0.00029284420914586567,0.5850764382015379,0.0005389793466563156,0.9227850204262128,0.5871128661332746,0.9191316585184919,0.3387584018105963,0.0019396812912243488,0.0020364279317367506,490.3915843963623
Aggressive SMOTE,0.2857140380163133,2306957,0.9216184405596595,0.0006279060547508896,0.7254921946848774,0.0011089167809224315,0.9230416655033633,0.7268117164221061,0.9187600706352361,0.33849400915673605,0.001423224943703838,0.0013195217372287127,593.0210421085358
