Model,AUC,F1-Score,CV_AUC(±std),CV_F1(±std),Overfitting
DecisionTree,0.890,0.374,0.898±0.002,0.613±0.003,0.011
RandomForest,0.912,0.385,0.923±0.001,0.634±0.002,0.006
XGBoost,0.929,0.518,0.946±0.001,0.679±0.007,0.021
CatBoost,0.909,0.454,0.922±0.001,0.597±0.006,0.005
