Scenario,Flood_Ratio,Samples,CV_AUC_mean,CV_AUC_std,CV_F1_mean,CV_F1_std,Train_AUC,Train_F1,Test_AUC,Test_F1,Overfitting_AUC,Overfitting_F1,Time_s
No SMOTE,0.12186249545289196,16494,0.9027595175747919,0.00797898287216914,0.5091372548675782,0.007751926149860256,0.949209695790586,0.5640213164338183,0.9047322368263688,0.5099494097807757,0.04645017821579411,0.05488406156624004,7.067729234695435
Conservative SMOTE,0.23076106006691804,18829,0.9256978290017377,0.00558454236985949,0.6948365882087536,0.006926912388409959,0.9538606625651606,0.7266787034648784,0.901811822780874,0.5045105245573004,0.028162833563422862,0.03184211525612479,4.2550880908966064
Aggressive SMOTE,0.28569314987424177,20277,0.9318530200462695,0.0035679783772677486,0.7535610026391653,0.0032726467690077075,0.9565037699653035,0.7803837953091685,0.9026340535077857,0.5069860279441117,0.024650749919034043,0.026822792670003204,4.510363817214966
