Scenario,Flood_Ratio,Samples,CV_AUC_mean,CV_AUC_std,CV_F1_mean,CV_F1_std,Train_AUC,Train_F1,Test_AUC,Test_F1,Overfitting_AUC,Overfitting_F1,Time_s
No SMOTE,0.08354332335020138,193660,0.9108806058694304,0.0021951990672772286,0.3851027627031437,0.0018982152659959574,0.9247376903256591,0.39468119511406324,0.9128192387804771,0.385336001624177,0.013857084456228685,0.009578432410919546,24.892011165618896
Conservative SMOTE,0.20040276983100788,221963,0.922370983355678,0.000990773816766913,0.6335528871431116,0.001917069880417453,0.9286938911921572,0.6402816097421749,0.9117549679446537,0.3848318681637508,0.0063229078364791524,0.006728722599063208,30.120655298233032
Aggressive SMOTE,0.2857131358336721,248473,0.9253544615947957,0.0006487967444253384,0.7329654113302977,0.0011263084816566342,0.9305899343049728,0.7377019786524912,0.9115646215037412,0.3830389100565755,0.005235472710177103,0.004736567322193519,37.404253005981445
