Model,CV_AUC_mean,CV_AUC_std,CV_F1_mean,CV_F1_std,Train_AUC_mean,Train_F1_mean,Test_AUC,Test_F1,Overfitting_AUC,Overfitting_F1,Time_s,CV_Stability
DecisionTree,0.8982044509850992,0.0019104498486140604,0.6133726875438869,0.003109785264672948,0.9036478333943057,0.6241662602693476,0.8897927723093597,0.37438365116140915,0.005443382409206499,0.010793572725460776,3.4395813941955566,Excellent
RandomForest,0.9226391837808261,0.0013361049811300401,0.6340793121263257,0.0021728177680459242,0.9286938911921572,0.6402816097421749,0.9117549679446537,0.3848318681637508,0.006054707411331073,0.006202297615849117,66.67283296585083,Excellent
XGBoost,0.9460088738108166,0.0011279641774399256,0.6785401514464545,0.007380073986928772,0.9522302908469578,0.6997767716386475,0.9291195350318447,0.5178753830439223,0.006221417036141208,0.021236620192192968,7.095501184463501,Excellent
CatBoost,0.9218978931827669,0.0013396143089281012,0.5973620342765779,0.0056908616706473295,0.9236258029658945,0.6028327097808659,0.9092131725349254,0.4542124542124542,0.0017279097831275347,0.005470675504288036,32.215254068374634,Excellent
